"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"01.01.2022 00:00 - 01.01.2022 00:15","11766","10446"
"01.01.2022 00:15 - 01.01.2022 00:30","11608","10388"
"01.01.2022 00:30 - 01.01.2022 00:45","11450","10340"
"01.01.2022 00:45 - 01.01.2022 01:00","11305","10322"
"01.01.2022 01:00 - 01.01.2022 01:15","11213","10326"
"01.01.2022 01:15 - 01.01.2022 01:30","11129","10332"
"01.01.2022 01:30 - 01.01.2022 01:45","11048","10223"
"01.01.2022 01:45 - 01.01.2022 02:00","10950","10118"
"01.01.2022 02:00 - 01.01.2022 02:15","10896","10033"
"01.01.2022 02:15 - 01.01.2022 02:30","10822","9956"
"01.01.2022 02:30 - 01.01.2022 02:45","10771","9861"
"01.01.2022 02:45 - 01.01.2022 03:00","10733","9778"
"01.01.2022 03:00 - 01.01.2022 03:15","10739","9870"
"01.01.2022 03:15 - 01.01.2022 03:30","10692","9843"
"01.01.2022 03:30 - 01.01.2022 03:45","10656","9758"
"01.01.2022 03:45 - 01.01.2022 04:00","10618","9659"
"01.01.2022 04:00 - 01.01.2022 04:15","10622","9663"
"01.01.2022 04:15 - 01.01.2022 04:30","10648","9623"
"01.01.2022 04:30 - 01.01.2022 04:45","10656","9567"
"01.01.2022 04:45 - 01.01.2022 05:00","10650","9506"
"01.01.2022 05:00 - 01.01.2022 05:15","10731","9515"
"01.01.2022 05:15 - 01.01.2022 05:30","10773","9499"
"01.01.2022 05:30 - 01.01.2022 05:45","10826","9524"
"01.01.2022 05:45 - 01.01.2022 06:00","10879","9494"
"01.01.2022 06:00 - 01.01.2022 06:15","10991","9629"
"01.01.2022 06:15 - 01.01.2022 06:30","11100","9673"
"01.01.2022 06:30 - 01.01.2022 06:45","11201","9702"
"01.01.2022 06:45 - 01.01.2022 07:00","11360","9759"
"01.01.2022 07:00 - 01.01.2022 07:15","11567","9822"
"01.01.2022 07:15 - 01.01.2022 07:30","11730","9887"
"01.01.2022 07:30 - 01.01.2022 07:45","11962","9969"
"01.01.2022 07:45 - 01.01.2022 08:00","12210","10009"
"01.01.2022 08:00 - 01.01.2022 08:15","12430","10103"
"01.01.2022 08:15 - 01.01.2022 08:30","12664","10167"
"01.01.2022 08:30 - 01.01.2022 08:45","12831","10184"
"01.01.2022 08:45 - 01.01.2022 09:00","13033","10179"
"01.01.2022 09:00 - 01.01.2022 09:15","13188","10278"
"01.01.2022 09:15 - 01.01.2022 09:30","13292","10330"
"01.01.2022 09:30 - 01.01.2022 09:45","13307","10366"
"01.01.2022 09:45 - 01.01.2022 10:00","13289","10472"
"01.01.2022 10:00 - 01.01.2022 10:15","13260","10574"
"01.01.2022 10:15 - 01.01.2022 10:30","13195","10680"
"01.01.2022 10:30 - 01.01.2022 10:45","13125","10683"
"01.01.2022 10:45 - 01.01.2022 11:00","13053","10715"
"01.01.2022 11:00 - 01.01.2022 11:15","13004","10718"
"01.01.2022 11:15 - 01.01.2022 11:30","12930","10683"
"01.01.2022 11:30 - 01.01.2022 11:45","12860","10652"
"01.01.2022 11:45 - 01.01.2022 12:00","12813","10622"
"01.01.2022 12:00 - 01.01.2022 12:15","12793","10537"
"01.01.2022 12:15 - 01.01.2022 12:30","12753","10507"
"01.01.2022 12:30 - 01.01.2022 12:45","12691","10531"
"01.01.2022 12:45 - 01.01.2022 13:00","12650","10593"
"01.01.2022 13:00 - 01.01.2022 13:15","12635","10663"
"01.01.2022 13:15 - 01.01.2022 13:30","12605","10751"
"01.01.2022 13:30 - 01.01.2022 13:45","12614","10751"
"01.01.2022 13:45 - 01.01.2022 14:00","12633","10780"
"01.01.2022 14:00 - 01.01.2022 14:15","12647","10871"
"01.01.2022 14:15 - 01.01.2022 14:30","12679","10947"
"01.01.2022 14:30 - 01.01.2022 14:45","12747","11033"
"01.01.2022 14:45 - 01.01.2022 15:00","12850","11157"
"01.01.2022 15:00 - 01.01.2022 15:15","12888","11242"
"01.01.2022 15:15 - 01.01.2022 15:30","13060","11377"
"01.01.2022 15:30 - 01.01.2022 15:45","13209","11420"
"01.01.2022 15:45 - 01.01.2022 16:00","13378","11510"
"01.01.2022 16:00 - 01.01.2022 16:15","13481","11558"
"01.01.2022 16:15 - 01.01.2022 16:30","13663","11722"
"01.01.2022 16:30 - 01.01.2022 16:45","13931","11912"
"01.01.2022 16:45 - 01.01.2022 17:00","14303","12225"
"01.01.2022 17:00 - 01.01.2022 17:15","14480","12547"
"01.01.2022 17:15 - 01.01.2022 17:30","14696","12820"
"01.01.2022 17:30 - 01.01.2022 17:45","14842","13026"
"01.01.2022 17:45 - 01.01.2022 18:00","14896","13104"
