"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|ES","Actual Total Load [MW] - BZN|ES"
"01.01.2023 00:00 - 01.01.2023 00:15","20449","20100"
"01.01.2023 00:15 - 01.01.2023 00:30","20287","20064"
"01.01.2023 00:30 - 01.01.2023 00:45","20129","19972"
"01.01.2023 00:45 - 01.01.2023 01:00","19970","19852"
"01.01.2023 01:00 - 01.01.2023 01:15","19832","19624"
"01.01.2023 01:15 - 01.01.2023 01:30","19655","19380"
"01.01.2023 01:30 - 01.01.2023 01:45","19462","19140"
"01.01.2023 01:45 - 01.01.2023 02:00","19256","18860"
"01.01.2023 02:00 - 01.01.2023 02:15","19058","18460"
"01.01.2023 02:15 - 01.01.2023 02:30","18832","18248"
"01.01.2023 02:30 - 01.01.2023 02:45","18601","17980"
"01.01.2023 02:45 - 01.01.2023 03:00","18367","17728"
"01.01.2023 03:00 - 01.01.2023 03:15","18128","17384"
"01.01.2023 03:15 - 01.01.2023 03:30","17897","17168"
"01.01.2023 03:30 - 01.01.2023 03:45","17672","16988"
"01.01.2023 03:45 - 01.01.2023 04:00","17462","16820"
"01.01.2023 04:00 - 01.01.2023 04:15","17210","16704"
"01.01.2023 04:15 - 01.01.2023 04:30","17058","16608"
"01.01.2023 04:30 - 01.01.2023 04:45","16945","16468"
"01.01.2023 04:45 - 01.01.2023 05:00","16869","16344"
"01.01.2023 05:00 - 01.01.2023 05:15","16775","16264"
"01.01.2023 05:15 - 01.01.2023 05:30","16756","16180"
"01.01.2023 05:30 - 01.01.2023 05:45","16758","16136"
"01.01.2023 05:45 - 01.01.2023 06:00","16783","16140"
"01.01.2023 06:00 - 01.01.2023 06:15","16788","16224"
"01.01.2023 06:15 - 01.01.2023 06:30","16859","16220"
"01.01.2023 06:30 - 01.01.2023 06:45","16953","16232"
"01.01.2023 06:45 - 01.01.2023 07:00","17057","16240"
"01.01.2023 07:00 - 01.01.2023 07:15","17205","16404"
"01.01.2023 07:15 - 01.01.2023 07:30","17282","16472"
"01.01.2023 07:30 - 01.01.2023 07:45","17325","16548"
"01.01.2023 07:45 - 01.01.2023 08:00","17338","16624"
"01.01.2023 08:00 - 01.01.2023 08:15","17348","16608"
"01.01.2023 08:15 - 01.01.2023 08:30","17323","16560"
"01.01.2023 08:30 - 01.01.2023 08:45","17291","16456"
"01.01.2023 08:45 - 01.01.2023 09:00","17269","16420"
"01.01.2023 09:00 - 01.01.2023 09:15","17180","16552"
"01.01.2023 09:15 - 01.01.2023 09:30","17230","16748"
"01.01.2023 09:30 - 01.01.2023 09:45","17337","16996"
"01.01.2023 09:45 - 01.01.2023 10:00","17489","17264"
"01.01.2023 10:00 - 01.01.2023 10:15","17660","17664"
"01.01.2023 10:15 - 01.01.2023 10:30","17850","18028"
"01.01.2023 10:30 - 01.01.2023 10:45","18037","18256"
